called,args,parent,file
g_slist_free_full,2,glib_slistautoptr_cleanup_GUnixSocketAddress,/usr/include/glib-2.0/gio/gunixsocketaddress.h
g_slist_free_full,2,glib_slistautoptr_cleanup_GZlibDecompressor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_slist_free_full,2,glib_slistautoptr_cleanup_GZlibCompressor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_slist_free_full,2,glib_slistautoptr_cleanup_GVolumeMonitor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_list_free_full,2,glib_listautoptr_cleanup_GUnixFDList,/usr/include/glib-2.0/gio/gunixfdlist.h
g_list_free_full,2,glib_listautoptr_cleanup_GUnixSocketAddress,/usr/include/glib-2.0/gio/gunixsocketaddress.h
g_list_free_full,2,glib_listautoptr_cleanup_GZlibDecompressor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_list_free_full,2,glib_listautoptr_cleanup_GZlibCompressor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_list_free_full,2,glib_listautoptr_cleanup_GVolumeMonitor,/usr/include/glib-2.0/gio/gio-autocleanups.h
g_io_channel_unref,1,channel_gui_register_one,/home/runner/work/vim/vim/src/channel.c
ch_error,2,channel_open,/home/runner/work/vim/vim/src/channel.c
ch_error,2,channel_open_unix,/home/runner/work/vim/vim/src/channel.c
ch_error,2,channel_connect,/home/runner/work/vim/vim/src/channel.c
ch_error,3,channel_connect,/home/runner/work/vim/vim/src/channel.c
ch_error,3,channel_read_fd,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_open,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_open_unix,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_connect,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_free_contents,/home/runner/work/vim/vim/src/channel.c
ch_log,2,add_channel,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_set_job,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_set_options,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_open_unix,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_connect,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_gui_unregister_one,/home/runner/work/vim/vim/src/channel.c
ch_log,4,channel_open,/home/runner/work/vim/vim/src/channel.c
ch_log,4,channel_gui_register_one,/home/runner/work/vim/vim/src/channel.c
vim_snprintf,4,ExpandFromContext,/home/runner/work/vim/vim/src/cmdexpand.c
vim_snprintf,4,ex_history,/home/runner/work/vim/vim/src/cmdhist.c
vim_snprintf,5,ex_history,/home/runner/work/vim/vim/src/cmdhist.c
g_object_unref,1,glib_autoptr_clear_GUnixFDList,/usr/include/glib-2.0/gio/gunixfdlist.h
